,analyst_estimated_eps,next_period
568,15.986333333333334,16.05
569,1.7739357777777778,1.8273843333
570,3.348480047619048,3.272831
571,3.348480047619048,3.27235
572,0.3897091551724139,0.4410715
573,3.712799157894737,3.298904
574,3.4811243333333337,2.85014
575,3.4811243333333337,2.85014
576,23.363345000000002,23.24
577,16.190061,17.154502
578,23.274375000000003,21.607401
579,9.221794,9.06251
580,10.639635190476191,9.640313
581,3.058181818181818,3.27
582,10.323913043478262,10.68
583,10.074260894736842,10.45186
584,4.704546217391305,4.699173
585,10.074260894736842,10.45186
586,5.018396894736842,5.042279
587,10.101095242424243,11.21819
588,9.034212407407407,9.571705
589,-4.020738578947369,-7.037389
590,9.337735,9.64429
591,2.6316159999999997,2.662308
592,2.3186264545454547,2.336382
593,9.628637809523811,9.719694
594,9.628637809523811,9.719694
595,11.3966025,11.837806
596,9.628637809523811,9.719694
597,-0.47595627272727264,-0.445541
598,-0.47595627272727264,-0.445541
599,6.133102952380952,6.315735
600,10.268748095238095,10.428603
601,2.490736,2.474282
602,20.19552438095238,21.235769
603,2.7816102352941177,2.545255
604,6.071818181818181,6.16
605,6.071818181818181,6.16
606,14.835284157894737,13.96584
607,13.739372,13.769484
608,14.835284157894737,13.96584
609,2.187268090909091,2.14415
610,3.041297074074074,2.865739
611,3.274812333333333,2.383955
612,3.5574904545454547,3.491386
613,2.1793161428571426,2.199584
614,15.605,15.63
615,0.7033096333333334,0.7913834
616,8.631671666666668,8.284803
617,5.0567470000000005,4.521887
618,3.5783730909090905,3.491386
619,3.269285714285714,3.46
620,2.777431846153846,2.4895
621,2.777431846153846,2.4895
622,17.12087672727273,16.672198
623,9.04398288235294,8.335898
624,23.84168210526316,23.417533
625,6.392667619047619,6.573947
626,11.10034,13.285538
627,11.311428571428571,11.23
628,2.2426138421052633,2.222783
629,10.796240333333333,11.529249
630,10.809625,11.099322
631,9.226160571428572,9.134597
632,4.6241389090909095,4.567779
633,9.871668,9.716747
634,10.809625,11.099322
635,2.698438888888889,2.701925
636,5.050109,5.128941
637,-5.373747,-5.751852
638,0.13777428571428563,0.130172
639,9.647721789473684,9.807348
640,2.0730760000000004,0.784087
641,9.647721789473684,9.807348
642,9.647721789473684,9.807348
643,0.13777428571428563,-0.410054
644,13.683306,12.243544
645,2.858298913043478,2.975798
646,15.937196454545454,13.028056
647,1.5150414210526315,1.284248
648,15.937196454545454,13.028056
649,9.304368,9.521407
650,21.898841684210527,22.3671
651,9.544707666666667,9.356932
652,2.6510759999999998,3.146922
653,6.37,6.46
654,6.365757575757576,6.46
655,24.17473684210526,24.04
656,3.2633915714285715,3.171963
657,15.128125,15.15
658,3.681306842105263,3.440092
659,3.681306842105263,3.440092
660,2.1796206190476193,2.2317193333
661,1.1483102666666665,1.2177635
662,5.874227641025641,5.293039
663,2.439156846153846,9.87628
664,2.439156846153846,9.87628
665,3.3964285714285714,3.646363
666,23.39795663157895,26.116058
667,4.518367235294117,4.508337
668,8.890265615384616,7.739426
669,6.606182695652174,7.18665
670,9.315989666666667,9.286111
671,10.061770578947367,9.830232
672,0.6107777037037037,1.006931
673,2.188325,2.248469
674,1.079058620689655,1.006931
675,11.275438411764707,12.071668
676,11.362923666666667,11.602024
677,11.362923666666667,11.602024
678,-4.311545,-5.604627
679,3.512742,3.734924
680,6.491612903225805,6.46
681,6.491612903225805,6.46
682,1.5800255714285711,1.622434
683,11.699936000000001,11.710385
684,5.129373666666667,5.469399
685,11.930765999999998,11.981811
686,3.2705044615384615,3.141591
687,9.183014333333333,9.634406
688,3.5041564347826086,3.517011
689,11.815454545454546,12.16
690,2.711457,2.726123
691,3.4816602727272725,3.215131
692,3.4816602727272725,3.215131
693,13.356029294117647,10.043735
694,13.356029294117647,10.043735
695,13.936257521739131,13.880393
696,9.73747,9.897204
697,21.61586791304348,22.186413
698,9.73747,9.897204
699,9.73747,9.897204
700,16.73631043478261,16.911719
701,14.953703703703704,14.96
702,2.2551585862068966,2.344017
703,1.6469319411764705,1.7349578
704,0.714428411764706,0.812656
705,8.798541764705883,8.74913
706,24.75090909090909,24.677505
707,6.653700263157895,5.957787
708,9.922848,9.786089
709,9.922848,9.786089
710,3.8429147241379313,3.991173
711,31.560373,31.958412
712,25.50833833333333,25.169698
713,16.146901272727273,18.290838
714,17.109443999999996,16.356627
715,12.51909090909091,13.43
716,7.171894260869565,7.14719
717,4.479849421052631,4.44636
718,5.461681647058823,5.567686
719,11.746434242424241,12.023347
720,10.229822,10.194102
721,-5.169559909090909,-7.676614
722,11.82983942105263,11.887934
723,0.8364092608695652,0.519021
724,9.841683631578947,9.950616
725,6.044423411764705,6.189435
726,9.841683631578947,9.950616
727,0.8364092608695652,0.519021
728,2.222226,2.158977
729,9.841683631578947,9.950616
730,11.82983942105263,11.887934
731,9.254631999999999,8.949632
732,4.41219361904762,4.360025
733,9.190176142857144,9.37719
734,9.257811666666665,10.306521
735,8.263787529411765,7.691635
736,3.369579,2.968333
737,0.7418606315789473,0.692775
738,21.963648,22.831467
739,11.629307857142855,8.830933
740,11.629307857142855,8.830933
741,2.7511277368421054,2.782407
742,6.520285714285714,6.59
743,6.520285714285714,6.59
744,12.005187888888889,11.048566
745,3.933899391304348,3.948111
746,11.930971000000001,11.780185
747,3.0842669999999996,2.823568
748,3.0842669999999996,2.823568
749,14.927241379310344,14.91
750,2.098937976470588,2.1556798
751,6.897405324324323,6.136205
752,2.3719573333333335,2.386892
753,10.006739999999999,9.587224
754,3.8240301428571426,3.741173
755,10.006739999999999,9.587224
756,17.789007526315793,18.279073
757,18.275907782608694,19.697698
758,13.45,13.63
759,10.595740461538462,10.26502
760,11.631152285714286,12.213953
761,9.701473076923078,9.772245
762,4.438834666666667,4.421884
763,10.062393578947368,9.768145
